ID,Subject,Total,proba_echec
202037,الكيمياء الصناعية,0.0,0.9999696
202098,الكيمياء الصناعية,0.0,0.9999696
202089,الكيمياء الصناعية,0.0,0.9999696
202252,الكيمياء الصناعية,0.0,0.9999696
202225,الكيمياء الصناعية,0.0,0.9999696
202001,الكيمياء الصناعية,0.0,0.9999696
202249,الكيمياء الصناعية,0.0,0.9999696
202104,الكيمياء الصناعية,0.0,0.9999696
206131,لغة انكليزية 1,0.0,0.9999696
206115,لغة انكليزية 1,0.0,0.9999696
206105,لغة انكليزية 1,0.0,0.9999696
206155,لغة انكليزية 1,0.0,0.9999696
206136,لغة انكليزية 1,0.0,0.9999696
202081,الكيمياء الصناعية,0.0,0.9999696
202253,الكيمياء الصناعية,0.0,0.9999696
206137,لغة انكليزية 1,0.0,0.9999696
202223,الكيمياء الصناعية,0.0,0.9999696
206002,لغة انكليزية 1,0.0,0.9999696
206030,لغة انكليزية 1,0.0,0.9999696
204092,الكيمياء الصناعية,0.0,0.9999696
201286,الثقافة القومية الاشتراكية,0.0,0.9999696
201008,الثقافة القومية الاشتراكية,0.0,0.9999696
201056,الثقافة القومية الاشتراكية,0.0,0.9999696
201117,الثقافة القومية الاشتراكية,0.0,0.9999696
201264,الثقافة القومية الاشتراكية,0.0,0.9999696
201047,الثقافة القومية الاشتراكية,0.0,0.9999696
201072,الثقافة القومية الاشتراكية,0.0,0.9999696
201049,الثقافة القومية الاشتراكية,0.0,0.9999696
201276,الثقافة القومية الاشتراكية,0.0,0.9999696
201001,الثقافة القومية الاشتراكية,0.0,0.9999696
201156,الثقافة القومية الاشتراكية,0.0,0.9999696
201260,الثقافة القومية الاشتراكية,0.0,0.9999696
201052,الثقافة القومية الاشتراكية,0.0,0.9999696
201279,الثقافة القومية الاشتراكية,0.0,0.9999696
201182,الثقافة القومية الاشتراكية,0.0,0.9999696
201018,الثقافة القومية الاشتراكية,0.0,0.9999696
201180,الثقافة القومية الاشتراكية,0.0,0.9999696
204078,الكيمياء الصناعية,0.0,0.9999696
201099,الثقافة القومية الاشتراكية,0.0,0.9999696
201091,الثقافة القومية الاشتراكية,0.0,0.9999696
201249,الثقافة القومية الاشتراكية,0.0,0.9999696
201130,الثقافة القومية الاشتراكية,0.0,0.9999696
201141,الثقافة القومية الاشتراكية,0.0,0.9999696
204031,الكيمياء الصناعية,0.0,0.9999696
201272,الثقافة القومية الاشتراكية,0.0,0.9999696
201066,الثقافة القومية الاشتراكية,0.0,0.9999696
